,brand,model,price,mileage,year,location,body_type,fuel,power,transmission,color,engine_size
133,Citroen,Ds3,35000.0,90000.0,2010.0,Tunis,Citadine,Essence,5.0,Manuelle,Blanc,
134,Land Rover,Range Rover Evoque,120000.0,100000.0,2016.0,Tunis,4 X 4,Diesel,8.0,Manuelle,Blanc,
135,Peugeot,3008,99000.0,63000.0,2021.0,Tunis,Autres,Essence,7.0,Automatique,Noir,
136,Kia,Sportage,99000.0,57000.0,2020.0,Tunis,4 X 4,Diesel,6.0,Manuelle,Bleu,
137,Seat,Ateca,133700.0,20000.0,2020.0,Tunis,4 X 4,Essence,8.0,Automatique,Gris,
138,Geely,Gc 6,47800.0,40000.0,2021.0,Tunis,Citadine,Essence,6.0,Manuelle,Beige,
139,Citroen,C3,43500.0,50000.0,2018.0,Tunis,Citadine,Essence,4.0,Manuelle,Blanc,
140,Land Rover,Range Rover Evoque,125000.0,180000.0,2013.0,Tunis,Autres,Essence,11.0,Automatique,Noir,
141,Audi,A5 Sportback,148000.0,75000.0,2019.0,Tunis,Compacte,Essence,8.0,Automatique,Noir,
142,Peugeot,2008,,60000.0,2020.0,Tunis,Autres,Essence,6.0,Manuelle,Noir,
143,Kia,Picanto,44500.0,40000.0,2019.0,Tunis,Citadine,Essence,4.0,Automatique,Gris,
144,Seat,Arona,70800.0,14000.0,2021.0,Tunis,Citadine,Essence,6.0,Manuelle,Noir,
145,Mg,Gs,,18000.0,2017.0,Tunis,Autres,Essence,9.0,Manuelle,Noir,
146,Audi,A5 Sportback,148000.0,37000.0,2018.0,Tunis,Citadine,Essence,8.0,Automatique,Noir,
147,Volkswagen,Amarok,87000.0,180000.0,2016.0,Tunis,4 X 4,Diesel,7.0,Manuelle,Marron,
148,Audi,A3 Berline,,12000.0,2022.0,Tunis,Berline,Essence,6.0,Automatique,Noir,
149,Bmw,Serie 3,34500.0,300000.0,2009.0,Tunis,Citadine,Essence,7.0,Manuelle,Noir,
150,Mercedes Benz,Classe C,69000.0,188000.0,2011.0,Tunis,Compacte,Diesel,9.0,Manuelle,Noir,
151,Haval,Jolion,93000.0,30000.0,2022.0,Tunis,4 X 4,Essence,9.0,Automatique,Noir,
152,Mercedes Benz,Cla,,30000.0,2022.0,Tunis,Berline,Essence,8.0,Automatique,Blanc,
153,Audi,A3 Sportback,45000.0,160000.0,2012.0,Tunis,Berline,Essence,6.0,Manuelle,Gris,
154,Dongfeng,Sx3,65000.0,18000.0,2021.0,Tunis,Autres,Essence,8.0,Manuelle,Gris,
155,Ford,Fusion,46000.0,200000.0,2016.0,Tunis,Compacte,Essence,9.0,Manuelle,Blanc,
156,Honda,City,56000.0,53000.0,2021.0,Tunis,Citadine,Essence,7.0,Automatique,Noir,
157,Audi,S5,125000.0,130000.0,2009.0,Tunis,Coupé,Essence,28.0,Automatique,Blanc,
158,Toyota,C Hr,83000.0,30000.0,2019.0,Tunis,Autres,Essence,6.0,Automatique,Gris,
159,Porsche,Cayenne,85000.0,240000.0,2008.0,Tunis,Compacte,Essence,21.0,Automatique,Noir,
160,Ford,Mustang,170000.0,73000.0,2011.0,Tunis,Cabriolet,Essence,32.0,Manuelle,Noir,
161,Mercedes Benz,Classe S,55000.0,123000.0,2001.0,Tunis,Citadine,Essence,23.0,Automatique,Gris,
162,Seat,Leon,,25000.0,2021.0,Tunis,Citadine,Diesel,7.0,Manuelle,Bleu,
163,Mercedes Benz,Classe C,188000.0,27000.0,2019.0,Ariana,Berline,Essence,9.0,Automatique,Blanc,
164,Volkswagen,Golf 7,67500.0,88000.0,2016.0,Sousse,Compacte,Essence,5.0,Manuelle,Noir,
165,Fiat,Tipo Berline,41000.0,110000.0,2020.0,Tunis,Berline,Essence,6.0,Manuelle,Gris,
166,Volkswagen,Golf 7,71000.0,100000.0,2020.0,Tunis,Utilitaire,Essence,6.0,Automatique,Noir,
167,Volkswagen,Golf 6,42000.0,240000.0,2011.0,Tunis,Utilitaire,Diesel,5.0,Manuelle,Blanc,
168,Mercedes Benz,Classe C,126500.0,140000.0,2015.0,Tunis,Berline,Diesel,6.0,Automatique,Gris,
169,Bmw,Serie 2 Active Tourer,95000.0,27000.0,2016.0,Tunis,Pick Up,Essence,7.0,Automatique,Beige,
170,Great Wall,M4,54500.0,22000.0,2021.0,Tunis,Pick Up,Essence,6.0,Manuelle,Noir,
171,Mercedes Benz,Classe S,133500.0,165000.0,2010.0,Tunis,Berline,Essence,18.0,Automatique,Noir,
172,Mercedes Benz,Classe C,110000.0,135000.0,2015.0,Tunis,Berline,Essence,8.0,Automatique,Noir,
173,Ford,Mondeo,36000.0,128000.0,2013.0,Tunis,Berline,Essence,9.0,Manuelle,Blanc,
174,Kia,Rio 5P,,25000.0,2021.0,Ariana,Citadine,Essence,5.0,Manuelle,Rouge,
175,Volkswagen,Golf 7,48000.0,150000.0,2015.0,Ariana,Compacte,Essence,5.0,Manuelle,Noir,
176,Fiat,Tipo,44900.0,80000.0,2020.0,Tunis,Coupé,Essence,6.0,Manuelle,Noir,
177,Peugeot,208,38000.0,30000.0,2020.0,Bizerte,Citadine,Essence,4.0,Manuelle,Gris,
178,Seat,Arona,73500.0,17000.0,2021.0,Bizerte,Citadine,Essence,6.0,Manuelle,Noir,
179,Ford,Transit,72500.0,100000.0,2021.0,Bizerte,Citadine,Diesel,7.0,Manuelle,Bleu,
180,Renault,Megane Sedan,55000.0,100000.0,2019.0,Tunis,Berline,Essence,7.0,Manuelle,Noir,
181,Fiat,Punto Classic,16700.0,184500.0,2008.0,Ariana,Compacte,Essence,5.0,Manuelle,Noir,
182,Nissan,Qashqai,69000.0,117000.0,2016.0,Ben Arous,Berline,Essence,6.0,Manuelle,Noir,
183,Volkswagen,Polo,26000.0,170000.0,2012.0,Ben Arous,Berline,Essence,5.0,Manuelle,Noir,
184,Mercedes Benz,Classe C,,,2022.0,Tunis,Berline,Hybride,10.0,Automatique,Gris,
185,Mercedes Benz,Glc Coupe,320000.0,40000.0,2019.0,Tunis,Coupé,Diesel,12.0,Automatique,Blanc,
186,Bmw,Serie 4 Gran Coupe,152000.0,57000.0,2019.0,Tunis,Berline,Essence,7.0,Automatique,Noir,
187,Mercedes Benz,Classe A,170000.0,18000.0,2018.0,Tunis,Compacte,Essence,8.0,Automatique,Blanc,
188,Bmw,Serie 1 5P,,20000.0,2021.0,Tunis,Berline,Essence,7.0,Automatique,Blanc,
189,Volkswagen,Golf 8,147000.0,28500.0,2021.0,Tunis,Compacte,Hybride,6.0,Automatique,Blanc,
190,Volkswagen,Golf 7,76000.0,30000.0,2019.0,Ariana,Berline,Essence,6.0,Manuelle,Gris,
191,Mercedes Benz,Classe A,95000.0,70000.0,2014.0,Tunis,Citadine,Essence,8.0,Automatique,Blanc,
192,Land Rover,Range Rover Evoque,115000.0,120000.0,2015.0,Tunis,4 X 4,Diesel,8.0,Manuelle,Noir,
193,Mercedes Benz,Classe E,59000.0,305000.0,2010.0,Ariana,Berline,Essence,10.0,Automatique,Gris,
194,Haval,H6,92000.0,32000.0,2020.0,Sousse,Autres,Essence,9.0,Automatique,Marron,
195,Renault,Clio,43500.0,60000.0,2019.0,Tunis,Citadine,Essence,5.0,Manuelle,Blanc,
